
---------- Begin Simulation Statistics ----------
sim_seconds                                  0.130872                       # Number of seconds simulated
sim_ticks                                130872122000                       # Number of ticks simulated
final_tick                               130872122000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset)
sim_freq                                 1000000000000                       # Frequency of simulated ticks
host_inst_rate                                 252633                       # Simulator instruction rate (inst/s)
host_op_rate                                   278214                       # Simulator op (including micro ops) rate (op/s)
host_tick_rate                               44203174                       # Simulator tick rate (ticks/s)
host_mem_usage                                 721296                       # Number of bytes of host memory used
host_seconds                                  2960.70                       # Real time elapsed on the host
sim_insts                                   747970603                       # Number of instructions simulated
sim_ops                                     823705535                       # Number of ops (including micro ops) simulated
system.voltage_domain.voltage                       1                       # Voltage in Volts
system.clk_domain.clock                          1000                       # Clock period in ticks
system.physmem.pwrStateResidencyTicks::UNDEFINED 130872122000                       # Cumulative time (in ticks) in various power states
system.physmem.bytes_read::cpu0.inst         75757312                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu0.data         10715328                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu1.inst         19343616                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu1.data          1966208                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu2.inst         19260736                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu2.data          2195072                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu3.inst         19059712                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu3.data          6579136                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu4.inst         23365824                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu4.data         14579392                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu5.inst         24534336                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu5.data          2048704                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu6.inst         24656064                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu6.data          2285376                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu7.inst         23384640                       # Number of bytes read from this memory
system.physmem.bytes_read::cpu7.data          1317632                       # Number of bytes read from this memory
system.physmem.bytes_read::total            271049088                       # Number of bytes read from this memory
system.physmem.bytes_inst_read::cpu0.inst     75757312                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu1.inst     19343616                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu2.inst     19260736                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu3.inst     19059712                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu4.inst     23365824                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu5.inst     24534336                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu6.inst     24656064                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::cpu7.inst     23384640                       # Number of instructions bytes read from this memory
system.physmem.bytes_inst_read::total       229362240                       # Number of instructions bytes read from this memory
system.physmem.bytes_written::writebacks     18676864                       # Number of bytes written to this memory
system.physmem.bytes_written::total          18676864                       # Number of bytes written to this memory
system.physmem.num_reads::cpu0.inst           1183708                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu0.data            167427                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu1.inst            302244                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu1.data             30722                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu2.inst            300949                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu2.data             34298                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu3.inst            297808                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu3.data            102799                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu4.inst            365091                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu4.data            227803                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu5.inst            383349                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu5.data             32011                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu6.inst            385251                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu6.data             35709                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu7.inst            365385                       # Number of read requests responded to by this memory
system.physmem.num_reads::cpu7.data             20588                       # Number of read requests responded to by this memory
system.physmem.num_reads::total               4235142                       # Number of read requests responded to by this memory
system.physmem.num_writes::writebacks          291826                       # Number of write requests responded to by this memory
system.physmem.num_writes::total               291826                       # Number of write requests responded to by this memory
system.physmem.bw_read::cpu0.inst           578865161                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu0.data            81876322                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu1.inst           147805474                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu1.data            15023887                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu2.inst           147172184                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu2.data            16772648                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu3.inst           145636150                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu3.data            50271486                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu4.inst           178539353                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu4.data           111401816                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu5.inst           187468008                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu5.data            15654243                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu6.inst           188398137                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu6.data            17462665                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu7.inst           178683127                       # Total read bandwidth from this memory (bytes/s)
system.physmem.bw_read::cpu7.data            10068088                       # Total read bandwidth from this memory (bytes/s)
